Exx	Eyy	Ezz	Eyz	Exz	Exy	Txx	Tyy	Tzz	Tyz	Txz	Txy
0.00100058	-0.000344762	-0.000396041	0.00022623	1.59739e-05	-7.03516e-05	68.4651	-0.00136864	-0.00106538	-1.35646	-0.639909	-0.412269
0.00200233	-0.00068969	-0.000792677	0.0004525	3.18927e-05	-0.00014047	137.271	-0.00534901	-0.00410207	-2.71297	-1.2861	-0.827344
0.00300523	-0.00103478	-0.00118991	0.00067881	4.77545e-05	-0.000210358	206.419	-0.0120079	-0.00921439	-4.06947	-1.93862	-1.24518
0.00400929	-0.00138035	-0.00158751	0.000905379	6.37356e-05	-0.000280177	275.884	-0.0213291	-0.0163747	-5.41977	-2.59201	-1.66968
0.00501455	-0.00173485	-0.00197989	0.00113856	8.57718e-05	-0.000354936	344.863	-0.0333744	-0.0254656	-6.66253	-3.12005	-2.21764
0.00602118	-0.00213014	-0.00234937	0.0013909	0.000121786	-0.000455567	409.165	-0.0351908	-0.0341026	-7.60932	-3.33925	-3.29433
0.00702948	-0.00261288	-0.00268073	0.00166652	0.000158493	-0.000611724	459.103	0.000331666	-0.0541998	-8.32455	-3.47519	-5.23811
0.0080397	-0.00319199	-0.00298291	0.00195208	0.000177591	-0.000826756	488.49	0.062496	-0.0911553	-9.45387	-3.85071	-7.87903
0.00905168	-0.00381163	-0.0032781	0.00222547	0.00018382	-0.00105748	507.18	0.0622332	-0.132996	-10.6936	-4.3463	-10.38
0.0100652	-0.00445097	-0.00356675	0.00248568	0.000194014	-0.0012797	521.105	0.0375008	-0.153581	-11.8636	-4.90468	-12.2608
