Exx	Eyy	Ezz	Eyz	Exz	Exy	Txx	Tyy	Tzz	Tyz	Txz	Txy
0.000100006	-2.9748e-05	-3.61093e-05	1.65321e-05	1.76412e-06	-4.42e-06	14.2745	0.000963353	0.00100187	-4.1437e-05	-2.16114e-06	-2.83874e-06
0.000200023	-5.96746e-05	-7.21719e-05	3.31063e-05	3.5507e-06	-8.89588e-06	28.5061	0.000942711	2.83629e-05	-0.000245172	-0.000215174	8.3104e-05
0.000300058	-0.000113526	-0.00010011	5.38145e-05	9.0625e-06	-2.06533e-05	36.1024	0.00308712	0.0114112	0.000825179	0.00439041	-0.000100067
0.000400116	-0.000190171	-0.000120189	7.88685e-05	1.7832e-05	-3.88996e-05	37.3649	0.0277237	0.0536725	0.00464146	0.0189562	0.0160197
0.00050019	-0.000263857	-0.000144493	0.000104332	2.28032e-05	-5.79308e-05	38.1583	0.0237856	0.0482234	-0.00468127	0.013539	0.00763382
0.000600282	-0.000336278	-0.000170604	0.00013111	2.71059e-05	-7.74915e-05	38.7048	0.0261883	0.0407842	-0.00168284	0.0107361	0.012966
0.000700388	-0.00040641	-0.000199236	0.000157266	2.90467e-05	-9.74393e-05	39.164	0.0149194	0.0243819	0.00549562	0.00537882	0.0048342
0.000800509	-0.000475657	-0.00022887	0.00018394	3.04489e-05	-0.000117287	39.5444	0.0106887	0.0168434	0.00968904	0.00380993	0.00260372
0.000900645	-0.000544585	-0.000258881	0.000210111	3.16155e-05	-0.000136562	39.8802	0.0024584	0.0197156	-0.000623963	0.00566373	0.00359181
0.0010008	-0.00061208	-0.000290379	0.000237324	3.17824e-05	-0.000156447	40.1886	-0.00299356	0.0126203	0.00807454	0.00125426	-0.000640484
0.00110096	-0.000679795	-0.000321663	0.000263638	3.26286e-05	-0.000175657	40.453	-0.0101133	0.0347495	0.00471974	0.0132097	-0.00836616
0.00120114	-0.00074782	-0.000352685	0.000291508	3.41262e-05	-0.000194445	40.7043	-0.0116793	0.0308396	0.0147792	0.00725253	-0.00259338
0.00130133	-0.000812417	-0.000387077	0.00031533	3.17955e-05	-0.000212819	40.9623	-0.00737224	0.0312132	-0.0008168	0.00238487	0.0012155
0.00140154	-0.000879956	-0.000418605	0.000346811	3.46459e-05	-0.000232351	41.1718	0.00141132	0.0213414	0.00140835	-0.00187577	0.00227822
0.00150176	-0.00094385	-0.000453763	0.00036943	3.17505e-05	-0.000249512	41.3934	-0.000605126	0.0160626	-0.00237957	-0.000631931	0.00681966
0.00160199	-0.00101249	-0.000484154	0.000399001	3.58772e-05	-0.000267995	41.592	0.00731412	0.00946382	0.0025367	0.00141627	0.00508934
0.00170224	-0.00107637	-0.000519298	0.000423181	3.34882e-05	-0.000285487	41.7926	-0.00180037	0.0184867	-0.00633745	0.00403873	0.00285916
0.0018025	-0.00114147	-0.00055321	0.000457301	3.52475e-05	-0.000305773	41.9681	0.00719343	0.0141261	0.00346974	-0.00371425	0.00542022
0.00190278	-0.00120568	-0.00058804	0.000480282	3.43031e-05	-0.000322485	42.1421	0.00665892	0.012264	-0.00109264	0.00456869	0.00359126
0.00200306	-0.0012734	-0.000619285	0.000509717	3.79002e-05	-0.000339617	42.3253	0.00782566	0.00571599	0.000461914	0.00414506	0.0031831
0.00210335	-0.00133601	-0.000655683	0.000533527	3.52515e-05	-0.000356309	42.49	0.00398641	0.0119309	0.00175894	0.00121437	0.000810636
0.00220367	-0.00140309	-0.000687613	0.000567968	3.89787e-05	-0.000376584	42.6258	-0.00134543	0.00772257	0.00075328	0.00494623	-0.00138704
0.00230399	-0.00146723	-0.000722386	0.000592823	3.80889e-05	-0.000393149	42.8037	-0.00356174	0.0191575	-0.00125699	-4.36897e-05	-0.000637792
0.00240432	-0.00153404	-0.000754428	0.000622439	4.18047e-05	-0.000409954	42.9785	0.0095398	0.00845759	-0.00201394	0.00529055	-0.00133202
0.00250467	-0.00159647	-0.000790961	0.000646705	3.92007e-05	-0.000426948	43.1167	0.00220186	0.0119998	-0.0106136	-0.00462589	0.00227277
0.00260503	-0.00166138	-0.000824926	0.000681093	4.19251e-05	-0.000445955	43.2614	0.00522222	0.00867896	-0.00284251	-0.00530383	0.00314367
0.00270542	-0.00172461	-0.000860488	0.000707404	3.98306e-05	-0.000464015	43.4309	0.0140348	0.00538174	-0.00124882	-0.00288532	0.000599804
0.00280577	-0.00179084	-0.000893146	0.000734358	4.32665e-05	-0.000478484	43.5704	0.0141818	-0.00222663	-0.000481803	0.00270059	0.000180922
0.0029062	-0.00185339	-0.000929417	0.000762553	4.00631e-05	-0.000497918	43.7113	0.00196578	0.00657518	-0.00871044	-0.0011714	-0.00163135
0.00300659	-0.00191848	-0.000963132	0.000793772	4.39345e-05	-0.000514381	43.8428	0.00915887	0.00197868	-0.0019036	0.00453535	-0.000290797
0.00310705	-0.00198065	-0.000999679	0.000820823	4.02027e-05	-0.00053285	44.0007	0.00341326	0.00957244	-0.0104313	-0.0105813	-0.00552239
0.00320744	-0.00204676	-0.0010324	0.000848918	4.38381e-05	-0.000547853	44.1235	0.00747378	-0.00427615	0.0012316	0.000640547	0.00107149
0.00330794	-0.00211178	-0.00106602	0.000877814	4.32607e-05	-0.000567072	44.265	-0.00170876	0.0126957	-0.0123488	-0.00279674	-0.00295983
0.00340835	-0.00217321	-0.00110334	0.000908477	4.45043e-05	-0.000583327	44.392	0.0169236	-0.00658997	0.00747588	0.00792796	-0.000605955
0.00350887	-0.00224004	-0.00113515	0.000934294	4.57749e-05	-0.000601154	44.5305	-0.00564818	0.0119109	-0.00610495	-0.00679383	0.00094015
0.00360931	-0.00230111	-0.00117274	0.00096379	4.58696e-05	-0.00061697	44.6662	0.0126073	-0.00463111	-0.0117624	0.00166427	-0.00319742
0.00370986	-0.00236384	-0.00120858	0.000995958	4.31344e-05	-0.000636737	44.8068	0.00426029	0.0026976	-0.00600566	-0.00570028	0.00147551
0.00381033	-0.0024302	-0.00124085	0.00102457	4.7255e-05	-0.000651623	44.9398	0.00813549	-0.00544528	-0.00276132	-0.000841696	0.00640422
0.00391091	-0.00249399	-0.00127554	0.00105337	4.60059e-05	-0.000671952	45.0741	0.00143302	0.0113975	-0.00395658	-0.0107035	-0.00331421
0.00401139	-0.00255689	-0.0013113	0.00108248	4.85291e-05	-0.000687006	45.1828	-0.00591017	0.0107913	-0.0015777	0.0116583	-0.00463709
0.004112	-0.00262082	-0.00134577	0.00111185	4.8682e-05	-0.000707008	45.3274	-0.0027788	0.0239701	-0.0126884	-0.0153561	-0.0100753
0.00421253	-0.00268256	-0.00138255	0.00114652	5.00734e-05	-0.000725435	45.4542	-0.00326945	0.0113022	-0.00689271	0.00271048	-0.00304883
0.00431313	-0.00274178	-0.00142181	0.0011743	4.67301e-05	-0.000744219	45.5748	0.00290291	0.0165267	-0.0175013	-0.0113817	-0.00564421
0.00441369	-0.00281061	-0.00145149	0.00120186	5.23112e-05	-0.000758425	45.6981	-0.00532987	0.000916118	-0.00254282	0.00603313	0.00349592
0.00451436	-0.00287121	-0.0014891	0.0012391	4.94043e-05	-0.000781538	45.8653	0.00262605	0.00273516	-0.00457595	0.00251596	-0.00730114
0.00461489	-0.00292981	-0.00152915	0.00126746	4.67546e-05	-0.000796818	45.9237	0.00805317	-0.000924264	-0.000778937	-0.000381069	0.00352499
0.00471558	-0.00299953	-0.00155762	0.00129472	5.29652e-05	-0.000816254	46.1025	-0.00830946	0.00569052	-0.00590189	0.00274323	-0.00291718
0.00481617	-0.00305814	-0.00159732	0.00132284	4.95066e-05	-0.000830972	46.2313	0.00617656	0.00275435	-0.000165381	-0.00354407	-0.00563002
0.00491689	-0.0031261	-0.00162767	0.00135191	5.35913e-05	-0.000850312	46.3458	-0.00603122	0.00879727	-0.0116557	-0.00140289	0.00191429
0.00501748	-0.00318436	-0.00166775	0.0013844	5.14027e-05	-0.00086663	46.4708	-0.000205134	-0.00276892	-0.00466517	0.000201609	-0.00404427
0.00511824	-0.0032533	-0.00169689	0.00141461	5.41611e-05	-0.000886555	46.6233	-0.00608178	0.0137356	-0.00705176	-0.00101618	-0.0032056
0.00521886	-0.00330582	-0.00174298	0.00144317	4.80846e-05	-0.000904547	46.6552	-0.0315177	0.0303722	-0.0342305	-0.00550357	-0.0116594
0.00531964	-0.00337111	-0.00177558	0.00148173	5.05577e-05	-0.000926942	46.8375	-0.00541502	0.0145245	-0.00638053	0.00226369	-0.00546651
0.0054203	-0.00343143	-0.00181352	0.00150767	4.9397e-05	-0.000941019	46.9482	-0.00366592	0.0143016	0.00244938	-0.00939917	0.000935467
0.00552109	-0.00350022	-0.00184276	0.00153707	5.60697e-05	-0.000960375	47.0988	-0.0129019	0.0162199	-0.00672774	0.00388666	-0.00827623
