**Total header lines = 12
**
**AC Lewis, AB Geltmacher, Naval Research Lab, 2004-2006
**alexis.lewis@nrl.navy.mil
**
**Grain ID File for AL6XN Superaustenitic Stainless Steel
**3D Volume has dimensions [119 x 112 x 79] voxels
**Data arranged in a 2D array of 119 x 8,848 integer values
**Rows 1-119 represent slice 1, 120-238 represent slice 2, etc.
**Slice 1 is the bottom slice (z=0)
**Calibration (microns per voxel) is [3.6, 3.6, 3.3]
**
1	101	201	301	401	501
2	102	202	302	402	502
3	103	203	303	403	503
4	104	204	304	404	504
5	105	205	305	405	505
6	106	206	306	406	506
7	107	207	307	407	507
8	108	208	308	408	508
9	109	209	309	409	509
10	110	210	310	410	510
11	111	211	311	411	511
12	112	212	312	412	512
13	113	213	313	413	513
14	114	214	314	414	514
15	115	215	315	415	515
16	116	216	316	416	516
17	117	217	317	417	517
18	118	218	318	418	518
19	119	219	319	419	519
20	120	220	320	420	520
21	121	221	321	421	521
22	122	222	322	422	522
23	123	223	323	423	523
24	124	224	324	424	524
25	125	225	325	425	525
26	126	226	326	426	526
27	127	227	327	427	527
28	128	228	328	428	528
29	129	229	329	429	529
30	130	230	330	430	530
31	131	231	331	431	531
32	132	232	332	432	532
33	133	233	333	433	533
34	134	234	334	434	534
35	135	235	335	435	535
36	136	236	336	436	536
37	137	237	337	437	537
38	138	238	338	438	538
39	139	239	339	439	539
40	140	240	340	440	540
41	141	241	341	441	541
42	142	242	342	442	542
43	143	243	343	443	543
44	144	244	344	444	544
45	145	245	345	445	545
46	146	246	346	446	546
47	147	247	347	447	547
48	148	248	348	448	548
49	149	249	349	449	549
50	150	250	350	450	550
51	151	251	351	451	551
52	152	252	352	452	552
53	153	253	353	453	553
54	154	254	354	454	554
55	155	255	355	455	555
56	156	256	356	456	556
57	157	257	357	457	557
58	158	258	358	458	558
59	159	259	359	459	559
60	160	260	360	460	560
61	161	261	361	461	561
62	162	262	362	462	562
63	163	263	363	463	563
64	164	264	364	464	564
65	165	265	365	465	565
66	166	266	366	466	566
67	167	267	367	467	567
68	168	268	368	468	568
69	169	269	369	469	569
70	170	270	370	470	570
71	171	271	371	471	571
72	172	272	372	472	572
73	173	273	373	473	573
74	174	274	374	474	574
75	175	275	375	475	575
76	176	276	376	476	576
77	177	277	377	477	577
78	178	278	378	478	578
79	179	279	379	479	579
80	180	280	380	480	580
81	181	281	381	481	581
82	182	282	382	482	582
83	183	283	383	483	583
84	184	284	384	484	584
85	185	285	385	485	585
86	186	286	386	486	586
87	187	287	387	487	587
88	188	288	388	488	588
89	189	289	389	489	589
90	190	290	390	490	590
91	191	291	391	491	591
92	192	292	392	492	592
93	193	293	393	493	593
94	194	294	394	494	594
95	195	295	395	495	595
96	196	296	396	496	596
97	197	297	397	497	597
98	198	298	398	498	598
99	199	299	399	499	599
100	200	300	400	500	600
   
